algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
UCB direct,3,0.0,0.0,0.08482333004202518,ok,36842
TS appendix,3,0.0,0.0,0.08482333004202518,ok,64788
TS direct,3,0.0,0.0,0.08482333004202518,ok,53584
Xu2021 observation-free UCB,3,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,3,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,3,0.1,0.008482333004202518,0.08482333004202518,ok,39948
UCB direct,3,0.1,0.008482333004202518,0.08482333004202518,ok,35446
TS appendix,3,0.1,0.008482333004202518,0.08482333004202518,ok,62754
TS direct,3,0.1,0.008482333004202518,0.08482333004202518,ok,52331
Xu2021 observation-free UCB,3,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,3,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,3,0.2,0.016964666008405037,0.08482333004202518,ok,38030
UCB direct,3,0.2,0.016964666008405037,0.08482333004202518,ok,34027
TS appendix,3,0.2,0.016964666008405037,0.08482333004202518,ok,60723
TS direct,3,0.2,0.016964666008405037,0.08482333004202518,ok,51058
Xu2021 observation-free UCB,3,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,3,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,3,0.3,0.025446999012607552,0.08482333004202518,ok,36117
UCB direct,3,0.3,0.025446999012607552,0.08482333004202518,ok,32582
TS appendix,3,0.3,0.025446999012607552,0.08482333004202518,ok,58686
TS direct,3,0.3,0.025446999012607552,0.08482333004202518,ok,49762
Xu2021 observation-free UCB,3,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,3,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,3,0.4,0.033929332016810074,0.08482333004202518,ok,34200
UCB direct,3,0.4,0.033929332016810074,0.08482333004202518,ok,31113
TS appendix,3,0.4,0.033929332016810074,0.08482333004202518,ok,56651
TS direct,3,0.4,0.033929332016810074,0.08482333004202518,ok,48443
Xu2021 observation-free UCB,3,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,3,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,3,0.5,0.04241166502101259,0.08482333004202518,ok,32279
UCB direct,3,0.5,0.04241166502101259,0.08482333004202518,ok,29617
TS appendix,3,0.5,0.04241166502101259,0.08482333004202518,ok,54613
TS direct,3,0.5,0.04241166502101259,0.08482333004202518,ok,47101
Xu2021 observation-free UCB,3,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,3,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,3,0.75,0.06361749753151888,0.08482333004202518,ok,27486
UCB direct,3,0.75,0.06361749753151888,0.08482333004202518,ok,25760
TS appendix,3,0.75,0.06361749753151888,0.08482333004202518,ok,49517
TS direct,3,0.75,0.06361749753151888,0.08482333004202518,ok,43639
Xu2021 observation-free UCB,3,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,3,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,3,1.0,0.08482333004202518,0.08482333004202518,ok,22683
UCB direct,3,1.0,0.08482333004202518,0.08482333004202518,ok,21723
TS appendix,3,1.0,0.08482333004202518,0.08482333004202518,ok,44414
TS direct,3,1.0,0.08482333004202518,0.08482333004202518,ok,40017
Xu2021 observation-free UCB,3,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,3,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,3,1.5,0.12723499506303776,0.08482333004202518,ok,13243
UCB direct,3,1.5,0.12723499506303776,0.08482333004202518,ok,13156
TS appendix,3,1.5,0.12723499506303776,0.08482333004202518,ok,34188
TS direct,3,1.5,0.12723499506303776,0.08482333004202518,ok,32245
Xu2021 observation-free UCB,3,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
Xu2021 observation-free TS,3,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,3,2.0,0.16964666008405035,0.08482333004202518,ok,7843
UCB direct,3,2.0,0.16964666008405035,0.08482333004202518,ok,7814
TS appendix,3,2.0,0.16964666008405035,0.08482333004202518,ok,23928
TS direct,3,2.0,0.16964666008405035,0.08482333004202518,ok,23679
Xu2021 observation-free UCB,3,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
Xu2021 observation-free TS,3,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,3,3.0,0.2544699901260755,0.08482333004202518,ok,3702
UCB direct,3,3.0,0.2544699901260755,0.08482333004202518,ok,3689
TS appendix,3,3.0,0.2544699901260755,0.08482333004202518,ok,11320
TS direct,3,3.0,0.2544699901260755,0.08482333004202518,ok,11309
Xu2021 observation-free UCB,3,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,3,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,3,4.0,0.3392933201681007,0.08482333004202518,ok,2160
UCB direct,3,4.0,0.3392933201681007,0.08482333004202518,ok,2151
TS appendix,3,4.0,0.3392933201681007,0.08482333004202518,ok,6741
TS direct,3,4.0,0.3392933201681007,0.08482333004202518,ok,6733
Xu2021 observation-free UCB,3,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,3,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,3,5.0,0.4241166502101259,0.08482333004202518,ok,1418
UCB direct,3,5.0,0.4241166502101259,0.08482333004202518,ok,1409
TS appendix,3,5.0,0.4241166502101259,0.08482333004202518,ok,4572
TS direct,3,5.0,0.4241166502101259,0.08482333004202518,ok,4562
Xu2021 observation-free UCB,3,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,3,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,3,6.0,0.508939980252151,0.08482333004202518,ok,1004
UCB direct,3,6.0,0.508939980252151,0.08482333004202518,ok,995
TS appendix,3,6.0,0.508939980252151,0.08482333004202518,ok,3381
TS direct,3,6.0,0.508939980252151,0.08482333004202518,ok,3369
Xu2021 observation-free UCB,3,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,3,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,4,0.0,0.0,0.08482333004202518,ok,41829
UCB direct,4,0.0,0.0,0.08482333004202518,ok,36815
TS appendix,4,0.0,0.0,0.08482333004202518,ok,64763
TS direct,4,0.0,0.0,0.08482333004202518,ok,53565
Xu2021 observation-free UCB,4,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,4,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,4,0.1,0.008482333004202518,0.08482333004202518,ok,39916
UCB direct,4,0.1,0.008482333004202518,0.08482333004202518,ok,35420
TS appendix,4,0.1,0.008482333004202518,0.08482333004202518,ok,62728
TS direct,4,0.1,0.008482333004202518,0.08482333004202518,ok,52312
Xu2021 observation-free UCB,4,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,4,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,4,0.2,0.016964666008405037,0.08482333004202518,ok,38003
UCB direct,4,0.2,0.016964666008405037,0.08482333004202518,ok,34000
TS appendix,4,0.2,0.016964666008405037,0.08482333004202518,ok,60694
TS direct,4,0.2,0.016964666008405037,0.08482333004202518,ok,51038
Xu2021 observation-free UCB,4,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,4,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,4,0.3,0.025446999012607552,0.08482333004202518,ok,36085
UCB direct,4,0.3,0.025446999012607552,0.08482333004202518,ok,32556
