algorithm,repeat,T,status,native_cost,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost,sample_equivalent_cost
Jun2018 clipped UCB,5,700000,failed,310356,0.44008857142857144,,308062,391938,151968238.13768294,152278594.13768288,
Zuo2024 clipped TS,5,700000,failed,145004,0.7389757142857143,,517283,182717,3.5997117966809585e+18,3.599711796681106e+18,
Xu2021 observation-free UCB,5,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,5,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,5,850000,failed,341810,0.49249882352941177,,418624,431376,166970315.27945638,167312125.2794564,
Zuo2024 clipped TS,5,850000,failed,152126,0.7741705882352942,,658045,191955,3.9728166222896543e+18,3.9728166222898135e+18,
Xu2021 observation-free UCB,5,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,5,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,5,1000000,failed,369377,0.533728,,533728,466272,184825210.85420328,185194587.85420263,
Zuo2024 clipped TS,5,1000000,failed,159657,0.798831,,798831,201169,4.3633529734967183e+18,4.363352973496876e+18,
Xu2021 observation-free UCB,5,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,5,1000000,simulated,994718.0,0.552334,1.0,552334,447666,0.0,994718.0,9947180.0
Jun2018 clipped UCB,6,100000,failed,64646,0.18559,,18559,81441,25702999.14348226,25767645.14348226,
Zuo2024 clipped TS,6,100000,failed,53683,0.32335,,32335,67665,4.937114510080367e+17,4.937114510080905e+17,
Xu2021 observation-free UCB,6,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,6,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,6,250000,failed,145642,0.265352,,66338,183662,73199689.89993693,73345331.89993697,
Zuo2024 clipped TS,6,250000,failed,95556,0.517632,,129408,120592,1.5680060169874962e+18,1.5680060169875935e+18,
Xu2021 observation-free UCB,6,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,6,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,6,400000,failed,211984,0.3327175,,133087,266913,110449091.42555234,110661075.42555214,
Zuo2024 clipped TS,6,400000,failed,116717,0.6322525,,252901,147099,2.3330784389012746e+18,2.3330784389013955e+18,
Xu2021 observation-free UCB,6,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,6,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,6,550000,failed,261885,0.3985109090909091,,219181,330819,134795968.76661223,135057853.7666125,
Zuo2024 clipped TS,6,550000,failed,132285,0.6969163636363637,,383304,166696,2.9960905531833646e+18,2.9960905531835044e+18,
Xu2021 observation-free UCB,6,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,6,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,6,700000,failed,306674,0.44710428571428573,,312973,387027,146437982.1070719,146744656.10707206,
Zuo2024 clipped TS,6,700000,failed,149021,0.7314185714285715,,511993,188007,3.811077207236455e+18,3.8110772072366034e+18,
Xu2021 observation-free UCB,6,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,6,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,6,850000,failed,346787,0.48593882352941176,,413048,436952,164089842.82793716,164436629.82793677,
