algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
UCB appendix,0,5,ok,200000,30659,169341,30634,18801,11833,2958.25,13464.864334,2.27510647267,0.0859240473064,"{""n_1"": 2979, ""n_2"": 2938, ""n_3"": 2958, ""n_4"": 2958, ""n_5"": 18801}",2979,2938,2958,2958,18801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,5,ok,200000,27889,172111,27864,17076,10788,2697,13464.864334,2.06938587042,0.102303379727,"{""n_1"": 2716, ""n_2"": 2678, ""n_3"": 2697, ""n_4"": 2697, ""n_5"": 17076}",2716,2678,2697,2697,17076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,5,ok,200000,48564,151436,48539,32114,16425,4106.25,13464.864334,3.60486365075,0.122219363557,"{""n_1"": 4123, ""n_2"": 4090, ""n_3"": 4106, ""n_4"": 4106, ""n_5"": 32114}",4123,4090,4106,4106,32114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,5,ok,200000,42004,157996,41979,27651,14328,3582,13464.864334,3.11766973351,0.130900000074,"{""n_1"": 3597, ""n_2"": 3567, ""n_3"": 3582, ""n_4"": 3582, ""n_5"": 27651}",3597,3567,3582,3582,27651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,10,ok,200000,41959,158041,41909,25679,16230,1803.33333333,16964.6660084,2.47036988404,0.113783024479,"{""n_1"": 1819, ""n_10"": 25679, ""n_2"": 1819, ""n_3"": 1756, ""n_4"": 1819, ""n_5"": 1819, ""n_6"": 1788, ""n_7"": 1788, ""n_8"": 1819, ""n_9"": 1803}",1819,1819,1756,1819,1819,1788,1788,1819,1803,25679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,10,ok,200000,36929,163071,36879,22529,14350,1594.44444444,16964.6660084,2.17387126759,0.133544649988,"{""n_1"": 1609, ""n_10"": 22529, ""n_2"": 1609, ""n_3"": 1550, ""n_4"": 1609, ""n_5"": 1609, ""n_6"": 1580, ""n_7"": 1580, ""n_8"": 1609, ""n_9"": 1595}",1609,1609,1550,1609,1609,1580,1580,1609,1595,22529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,10,ok,200000,64875,135125,64825,41870,22955,2550.55555556,16964.6660084,3.82117749727,0.157122882705,"{""n_1"": 2563, ""n_10"": 41870, ""n_2"": 2563, ""n_3"": 2513, ""n_4"": 2563, ""n_5"": 2563, ""n_6"": 2538, ""n_7"": 2538, ""n_8"": 2563, ""n_9"": 2551}",2563,2563,2513,2563,2563,2538,2538,2563,2551,41870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,10,ok,200000,53661,146339,53611,34382,19229,2136.55555556,16964.6660084,3.16015652613,0.171750000066,"{""n_1"": 2148, ""n_10"": 34382, ""n_2"": 2148, ""n_3"": 2102, ""n_4"": 2148, ""n_5"": 2148, ""n_6"": 2125, ""n_7"": 2125, ""n_8"": 2148, ""n_9"": 2137}",2148,2148,2102,2148,2148,2125,2125,2148,2137,34382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,15,ok,200000,49856,150144,49781,30381,19400,1385.71428571,19419.6948,2.56342854575,0.131870125636,"{""n_1"": 1397, ""n_10"": 1384, ""n_11"": 1384, ""n_12"": 1384, ""n_13"": 1384, ""n_14"": 1384, ""n_15"": 30381, ""n_2"": 1397, ""n_3"": 1370, ""n_4"": 1397, ""n_5"": 1384, ""n_6"": 1384, ""n_7"": 1397, ""n_8"": 1370, ""n_9"": 1384}",1397,1397,1370,1397,1384,1384,1397,1370,1384,1384,1384,1384,1384,1384,30381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,15,ok,200000,42911,157089,42836,25966,16870,1205,19419.6948,2.20580191611,0.154092469181,"{""n_1"": 1216, ""n_10"": 1203, ""n_11"": 1203, ""n_12"": 1203, ""n_13"": 1203, ""n_14"": 1203, ""n_15"": 25966, ""n_2"": 1216, ""n_3"": 1191, ""n_4"": 1216, ""n_5"": 1203, ""n_6"": 1203, ""n_7"": 1216, ""n_8"": 1191, ""n_9"": 1203}",1216,1216,1191,1216,1203,1203,1216,1191,1203,1203,1203,1203,1203,1203,25966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,15,ok,200000,76437,123563,76362,48606,27756,1982.57142857,19419.6948,3.93219362027,0.179642644175,"{""n_1"": 1992, ""n_10"": 1981, ""n_11"": 1981, ""n_12"": 1981, ""n_13"": 1981, ""n_14"": 1981, ""n_15"": 48606, ""n_2"": 1992, ""n_3"": 1970, ""n_4"": 1992, ""n_5"": 1981, ""n_6"": 1981, ""n_7"": 1992, ""n_8"": 1970, ""n_9"": 1981}",1992,1992,1970,1992,1981,1981,1992,1970,1981,1981,1981,1981,1981,1981,48606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,15,ok,200000,61333,138667,61258,38488,22770,1626.42857143,19419.6948,3.1544265052,0.19845000006,"{""n_1"": 1635, ""n_10"": 1625, ""n_11"": 1625, ""n_12"": 1625, ""n_13"": 1625, ""n_14"": 1625, ""n_15"": 38488, ""n_2"": 1635, ""n_3"": 1615, ""n_4"": 1635, ""n_5"": 1625, ""n_6"": 1625, ""n_7"": 1635, ""n_8"": 1615, ""n_9"": 1625}",1635,1635,1615,1635,1625,1625,1635,1615,1625,1625,1625,1625,1625,1625,38488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,20,ok,200000,56209,143791,56109,34108,22001,1157.94736842,21374.1398084,2.62508809725,0.145691158958,"{""n_1"": 1155, ""n_10"": 1155, ""n_11"": 1155, ""n_12"": 1155, ""n_13"": 1143, ""n_14"": 1143, ""n_15"": 1168, ""n_16"": 1168, ""n_17"": 1143, ""n_18"": 1143, ""n_19"": 1168, ""n_2"": 1168, ""n_20"": 34108, ""n_3"": 1168, ""n_4"": 1168, ""n_5"": 1155, ""n_6"": 1168, ""n_7"": 1168, ""n_8"": 1155, ""n_9"": 1155}",1155,1168,1168,1168,1155,1168,1168,1155,1155,1155,1155,1155,1143,1143,1168,1168,1143,1143,1168,34108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,20,ok,200000,47537,152463,47437,28511,18926,996.105263158,21374.1398084,2.21936416741,0.169856247937,"{""n_1"": 994, ""n_10"": 994, ""n_11"": 994, ""n_12"": 994, ""n_13"": 982, ""n_14"": 982, ""n_15"": 1005, ""n_16"": 1005, ""n_17"": 982, ""n_18"": 982, ""n_19"": 1005, ""n_2"": 1005, ""n_20"": 28511, ""n_3"": 1005, ""n_4"": 1005, ""n_5"": 994, ""n_6"": 1005, ""n_7"": 1005, ""n_8"": 994, ""n_9"": 994}",994,1005,1005,1005,994,1005,1005,994,994,994,994,994,982,982,1005,1005,982,982,1005,28511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,20,ok,200000,85832,114168,85732,53981,31751,1671.10526316,21374.1398084,4.01101521598,0.196764216426,"{""n_1"": 1669, ""n_10"": 1669, ""n_11"": 1669, ""n_12"": 1669, ""n_13"": 1659, ""n_14"": 1659, ""n_15"": 1679, ""n_16"": 1679, ""n_17"": 1659, ""n_18"": 1659, ""n_19"": 1679, ""n_2"": 1679, ""n_20"": 53981, ""n_3"": 1679, ""n_4"": 1679, ""n_5"": 1669, ""n_6"": 1679, ""n_7"": 1679, ""n_8"": 1669, ""n_9"": 1669}",1669,1679,1679,1679,1669,1679,1679,1669,1669,1669,1669,1669,1659,1659,1679,1679,1659,1659,1679,53981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,20,ok,200000,67238,132762,67138,41851,25287,1330.89473684,21374.1398084,3.14108547066,0.220650000056,"{""n_1"": 1329, ""n_10"": 1329, ""n_11"": 1329, ""n_12"": 1329, ""n_13"": 1320, ""n_14"": 1320, ""n_15"": 1338, ""n_16"": 1338, ""n_17"": 1320, ""n_18"": 1320, ""n_19"": 1338, ""n_2"": 1338, ""n_20"": 41851, ""n_3"": 1338, ""n_4"": 1338, ""n_5"": 1329, ""n_6"": 1338, ""n_7"": 1338, ""n_8"": 1329, ""n_9"": 1329}",1329,1338,1338,1338,1329,1338,1338,1329,1329,1329,1329,1329,1320,1320,1338,1338,1320,1320,1338,41851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,30,ok,200000,66223,133777,66073,39953,26120,900.689655172,24467.282261,2.70046339005,0.166500147885,"{""n_1"": 916, ""n_10"": 895, ""n_11"": 906, ""n_12"": 916, ""n_13"": 895, ""n_14"": 906, ""n_15"": 906, ""n_16"": 906, ""n_17"": 916, ""n_18"": 895, ""n_19"": 906, ""n_2"": 906, ""n_20"": 906, ""n_21"": 906, ""n_22"": 883, ""n_23"": 883, ""n_24"": 895, ""n_25"": 883, ""n_26"": 895, ""n_27"": 883, ""n_28"": 883, ""n_29"": 883, ""n_3"": 906, ""n_30"": 39953, ""n_4"": 916, ""n_5"": 906, ""n_6"": 906, ""n_7"": 916, ""n_8"": 906, ""n_9"": 895}",916,906,906,916,906,906,916,906,895,895,906,916,895,906,906,906,916,895,906,906,906,883,883,895,883,895,883,883,883,39953,,,,,,,,,,,,,,,,,,,,
UCB direct,0,30,ok,200000,54496,145504,54346,32465,21881,754.517241379,24467.282261,2.22117027221,0.194835787913,"{""n_1"": 769, ""n_10"": 749, ""n_11"": 759, ""n_12"": 769, ""n_13"": 749, ""n_14"": 759, ""n_15"": 759, ""n_16"": 759, ""n_17"": 769, ""n_18"": 749, ""n_19"": 759, ""n_2"": 759, ""n_20"": 759, ""n_21"": 759, ""n_22"": 739, ""n_23"": 739, ""n_24"": 749, ""n_25"": 739, ""n_26"": 749, ""n_27"": 739, ""n_28"": 739, ""n_29"": 739, ""n_3"": 759, ""n_30"": 32465, ""n_4"": 769, ""n_5"": 759, ""n_6"": 759, ""n_7"": 769, ""n_8"": 759, ""n_9"": 749}",769,759,759,769,759,759,769,759,749,749,759,769,749,759,759,759,769,749,759,759,759,739,739,749,739,749,739,739,739,32465,,,,,,,,,,,,,,,,,,,,
TS appendix,0,30,ok,200000,100971,99029,100821,62513,38308,1320.96551724,24467.282261,4.12064564116,0.22251768772,"{""n_1"": 1334, ""n_10"": 1316, ""n_11"": 1325, ""n_12"": 1334, ""n_13"": 1316, ""n_14"": 1325, ""n_15"": 1325, ""n_16"": 1325, ""n_17"": 1334, ""n_18"": 1316, ""n_19"": 1325, ""n_2"": 1325, ""n_20"": 1325, ""n_21"": 1325, ""n_22"": 1307, ""n_23"": 1307, ""n_24"": 1316, ""n_25"": 1307, ""n_26"": 1316, ""n_27"": 1307, ""n_28"": 1307, ""n_29"": 1307, ""n_3"": 1325, ""n_30"": 62513, ""n_4"": 1334, ""n_5"": 1325, ""n_6"": 1325, ""n_7"": 1334, ""n_8"": 1325, ""n_9"": 1316}",1334,1325,1325,1334,1325,1325,1334,1325,1316,1316,1325,1334,1316,1325,1325,1325,1334,1316,1325,1325,1325,1307,1307,1316,1307,1316,1307,1307,1307,62513,,,,,,,,,,,,,,,,,,,,
TS direct,0,30,ok,200000,76176,123824,76026,46289,29737,1025.4137931,24467.282261,3.10725152017,0.252700000049,"{""n_1"": 1037, ""n_10"": 1021, ""n_11"": 1029, ""n_12"": 1037, ""n_13"": 1021, ""n_14"": 1029, ""n_15"": 1029, ""n_16"": 1029, ""n_17"": 1037, ""n_18"": 1021, ""n_19"": 1029, ""n_2"": 1029, ""n_20"": 1029, ""n_21"": 1029, ""n_22"": 1013, ""n_23"": 1013, ""n_24"": 1021, ""n_25"": 1013, ""n_26"": 1021, ""n_27"": 1013, ""n_28"": 1013, ""n_29"": 1013, ""n_3"": 1029, ""n_30"": 46289, ""n_4"": 1037, ""n_5"": 1029, ""n_6"": 1029, ""n_7"": 1037, ""n_8"": 1029, ""n_9"": 1021}",1037,1029,1029,1037,1029,1029,1037,1029,1021,1021,1029,1037,1021,1029,1029,1029,1037,1021,1029,1029,1029,1013,1013,1021,1013,1021,1013,1013,1013,46289,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,40,ok,200000,74659,125341,74459,44722,29737,762.487179487,26929.728668,2.76493688139,0.182743998227,"{""n_1"": 763, ""n_10"": 763, ""n_11"": 753, ""n_12"": 743, ""n_13"": 753, ""n_14"": 773, ""n_15"": 763, ""n_16"": 763, ""n_17"": 773, ""n_18"": 773, ""n_19"": 763, ""n_2"": 773, ""n_20"": 763, ""n_21"": 763, ""n_22"": 743, ""n_23"": 763, ""n_24"": 773, ""n_25"": 773, ""n_26"": 763, ""n_27"": 763, ""n_28"": 743, ""n_29"": 753, ""n_3"": 763, ""n_30"": 773, ""n_31"": 773, ""n_32"": 773, ""n_33"": 753, ""n_34"": 753, ""n_35"": 753, ""n_36"": 753, ""n_37"": 763, ""n_38"": 763, ""n_39"": 753, ""n_4"": 773, ""n_40"": 44722, ""n_5"": 763, ""n_6"": 773, ""n_7"": 773, ""n_8"": 753, ""n_9"": 773}",763,773,763,773,763,773,773,753,773,763,753,743,753,773,763,763,773,773,763,763,763,743,763,773,773,763,763,743,753,773,773,773,753,753,753,753,763,763,753,44722,,,,,,,,,,
UCB direct,0,40,ok,200000,60108,139892,59908,35590,24318,623.538461538,26929.728668,2.22460466418,0.215315739971,"{""n_1"": 624, ""n_10"": 624, ""n_11"": 615, ""n_12"": 606, ""n_13"": 615, ""n_14"": 633, ""n_15"": 624, ""n_16"": 624, ""n_17"": 633, ""n_18"": 633, ""n_19"": 624, ""n_2"": 633, ""n_20"": 624, ""n_21"": 624, ""n_22"": 606, ""n_23"": 624, ""n_24"": 633, ""n_25"": 633, ""n_26"": 624, ""n_27"": 624, ""n_28"": 606, ""n_29"": 615, ""n_3"": 624, ""n_30"": 633, ""n_31"": 633, ""n_32"": 633, ""n_33"": 615, ""n_34"": 615, ""n_35"": 615, ""n_36"": 615, ""n_37"": 624, ""n_38"": 624, ""n_39"": 615, ""n_4"": 633, ""n_40"": 35590, ""n_5"": 624, ""n_6"": 633, ""n_7"": 633, ""n_8"": 615, ""n_9"": 633}",624,633,624,633,624,633,633,615,633,624,615,606,615,633,624,624,633,633,624,624,624,606,624,633,633,624,624,606,615,633,633,633,615,615,615,615,624,624,615,35590,,,,,,,,,,
TS appendix,0,40,ok,200000,113679,86321,113479,69464,44015,1128.58974359,26929.728668,4.21389318099,0.242304079492,"{""n_1"": 1129, ""n_10"": 1129, ""n_11"": 1121, ""n_12"": 1113, ""n_13"": 1121, ""n_14"": 1137, ""n_15"": 1129, ""n_16"": 1129, ""n_17"": 1137, ""n_18"": 1137, ""n_19"": 1129, ""n_2"": 1137, ""n_20"": 1129, ""n_21"": 1129, ""n_22"": 1113, ""n_23"": 1129, ""n_24"": 1137, ""n_25"": 1137, ""n_26"": 1129, ""n_27"": 1129, ""n_28"": 1113, ""n_29"": 1121, ""n_3"": 1129, ""n_30"": 1137, ""n_31"": 1137, ""n_32"": 1137, ""n_33"": 1121, ""n_34"": 1121, ""n_35"": 1121, ""n_36"": 1121, ""n_37"": 1129, ""n_38"": 1129, ""n_39"": 1121, ""n_4"": 1137, ""n_40"": 69464, ""n_5"": 1129, ""n_6"": 1137, ""n_7"": 1137, ""n_8"": 1121, ""n_9"": 1137}",1129,1137,1129,1137,1129,1137,1137,1121,1137,1129,1121,1113,1121,1137,1129,1129,1137,1137,1129,1129,1129,1113,1129,1137,1137,1129,1129,1113,1121,1137,1137,1137,1121,1121,1121,1121,1129,1129,1121,69464,,,,,,,,,,
TS direct,0,40,ok,200000,83203,116797,83003,49711,33292,853.641025641,26929.728668,3.08220706652,0.278850000044,"{""n_1"": 854, ""n_10"": 854, ""n_11"": 847, ""n_12"": 840, ""n_13"": 847, ""n_14"": 861, ""n_15"": 854, ""n_16"": 854, ""n_17"": 861, ""n_18"": 861, ""n_19"": 854, ""n_2"": 861, ""n_20"": 854, ""n_21"": 854, ""n_22"": 840, ""n_23"": 854, ""n_24"": 861, ""n_25"": 861, ""n_26"": 854, ""n_27"": 854, ""n_28"": 840, ""n_29"": 847, ""n_3"": 854, ""n_30"": 861, ""n_31"": 861, ""n_32"": 861, ""n_33"": 847, ""n_34"": 847, ""n_35"": 847, ""n_36"": 847, ""n_37"": 854, ""n_38"": 854, ""n_39"": 847, ""n_4"": 861, ""n_40"": 49711, ""n_5"": 854, ""n_6"": 861, ""n_7"": 861, ""n_8"": 847, ""n_9"": 861}",854,861,854,861,854,861,861,847,861,854,847,840,847,861,854,854,861,861,854,854,854,840,854,861,861,854,854,840,847,861,861,861,847,847,847,847,854,854,847,49711,,,,,,,,,,
UCB appendix,0,50,ok,200000,81895,118105,81645,48761,32884,671.102040816,29009.1708178,2.8144547982,0.196014411419,"{""n_1"": 680, ""n_10"": 680, ""n_11"": 680, ""n_12"": 671, ""n_13"": 671, ""n_14"": 671, ""n_15"": 671, ""n_16"": 680, ""n_17"": 671, ""n_18"": 680, ""n_19"": 680, ""n_2"": 680, ""n_20"": 671, ""n_21"": 661, ""n_22"": 661, ""n_23"": 680, ""n_24"": 680, ""n_25"": 671, ""n_26"": 671, ""n_27"": 680, ""n_28"": 671, ""n_29"": 661, ""n_3"": 680, ""n_30"": 671, ""n_31"": 680, ""n_32"": 680, ""n_33"": 671, ""n_34"": 680, ""n_35"": 661, ""n_36"": 661, ""n_37"": 661, ""n_38"": 661, ""n_39"": 671, ""n_4"": 671, ""n_40"": 680, ""n_41"": 661, ""n_42"": 671, ""n_43"": 671, ""n_44"": 652, ""n_45"": 661, ""n_46"": 661, ""n_47"": 661, ""n_48"": 671, ""n_49"": 652, ""n_5"": 671, ""n_50"": 48761, ""n_6"": 671, ""n_7"": 680, ""n_8"": 680, ""n_9"": 671}",680,680,680,671,671,671,680,680,671,680,680,671,671,671,671,680,671,680,680,671,661,661,680,680,671,671,680,671,661,671,680,680,671,680,661,661,661,661,671,680,661,671,671,652,661,661,661,671,652,48761
UCB direct,0,50,ok,200000,64726,135274,64476,38100,26376,538.285714286,29009.1708178,2.22260747834,0.23233685401,"{""n_1"": 546, ""n_10"": 546, ""n_11"": 546, ""n_12"": 538, ""n_13"": 538, ""n_14"": 538, ""n_15"": 538, ""n_16"": 546, ""n_17"": 538, ""n_18"": 546, ""n_19"": 546, ""n_2"": 546, ""n_20"": 538, ""n_21"": 530, ""n_22"": 530, ""n_23"": 546, ""n_24"": 546, ""n_25"": 538, ""n_26"": 538, ""n_27"": 546, ""n_28"": 538, ""n_29"": 530, ""n_3"": 546, ""n_30"": 538, ""n_31"": 546, ""n_32"": 546, ""n_33"": 538, ""n_34"": 546, ""n_35"": 530, ""n_36"": 530, ""n_37"": 530, ""n_38"": 530, ""n_39"": 538, ""n_4"": 538, ""n_40"": 546, ""n_41"": 530, ""n_42"": 538, ""n_43"": 538, ""n_44"": 521, ""n_45"": 530, ""n_46"": 530, ""n_47"": 530, ""n_48"": 538, ""n_49"": 521, ""n_5"": 538, ""n_50"": 38100, ""n_6"": 538, ""n_7"": 546, ""n_8"": 546, ""n_9"": 538}",546,546,546,538,538,538,546,546,538,546,546,538,538,538,538,546,538,546,546,538,530,530,546,546,538,538,546,538,530,538,546,546,538,546,530,530,530,530,538,546,530,538,538,521,530,530,530,538,521,38100
TS appendix,0,50,ok,200000,124712,75288,124462,75395,49067,1001.36734694,29009.1708178,4.29043631691,0.258402613971,"{""n_1"": 1009, ""n_10"": 1009, ""n_11"": 1009, ""n_12"": 1001, ""n_13"": 1001, ""n_14"": 1001, ""n_15"": 1001, ""n_16"": 1009, ""n_17"": 1001, ""n_18"": 1009, ""n_19"": 1009, ""n_2"": 1009, ""n_20"": 1001, ""n_21"": 993, ""n_22"": 993, ""n_23"": 1009, ""n_24"": 1009, ""n_25"": 1001, ""n_26"": 1001, ""n_27"": 1009, ""n_28"": 1001, ""n_29"": 993, ""n_3"": 1009, ""n_30"": 1001, ""n_31"": 1009, ""n_32"": 1009, ""n_33"": 1001, ""n_34"": 1009, ""n_35"": 993, ""n_36"": 993, ""n_37"": 993, ""n_38"": 993, ""n_39"": 1001, ""n_4"": 1001, ""n_40"": 1009, ""n_41"": 993, ""n_42"": 1001, ""n_43"": 1001, ""n_44"": 986, ""n_45"": 993, ""n_46"": 993, ""n_47"": 993, ""n_48"": 1001, ""n_49"": 986, ""n_5"": 1001, ""n_50"": 75395, ""n_6"": 1001, ""n_7"": 1009, ""n_8"": 1009, ""n_9"": 1001}",1009,1009,1009,1001,1001,1001,1009,1009,1001,1009,1009,1001,1001,1001,1001,1009,1001,1009,1009,1001,993,993,1009,1009,1001,1001,1009,1001,993,1001,1009,1009,1001,1009,993,993,993,993,1001,1009,993,1001,1001,986,993,993,993,1001,986,75395
TS direct,0,50,ok,200000,88967,111033,88717,52409,36308,740.979591837,29009.1708178,3.0582397738,0.30070000004,"{""n_1"": 747, ""n_10"": 747, ""n_11"": 747, ""n_12"": 741, ""n_13"": 741, ""n_14"": 741, ""n_15"": 741, ""n_16"": 747, ""n_17"": 741, ""n_18"": 747, ""n_19"": 747, ""n_2"": 747, ""n_20"": 741, ""n_21"": 734, ""n_22"": 734, ""n_23"": 747, ""n_24"": 747, ""n_25"": 741, ""n_26"": 741, ""n_27"": 747, ""n_28"": 741, ""n_29"": 734, ""n_3"": 747, ""n_30"": 741, ""n_31"": 747, ""n_32"": 747, ""n_33"": 741, ""n_34"": 747, ""n_35"": 734, ""n_36"": 734, ""n_37"": 734, ""n_38"": 734, ""n_39"": 741, ""n_4"": 741, ""n_40"": 747, ""n_41"": 734, ""n_42"": 741, ""n_43"": 741, ""n_44"": 728, ""n_45"": 734, ""n_46"": 734, ""n_47"": 734, ""n_48"": 741, ""n_49"": 728, ""n_5"": 741, ""n_50"": 52409, ""n_6"": 741, ""n_7"": 747, ""n_8"": 747, ""n_9"": 741}",747,747,747,741,741,741,747,747,741,747,747,741,741,741,741,747,741,747,747,741,734,734,747,747,741,741,747,741,734,741,747,747,741,747,734,734,734,734,741,747,734,741,741,728,734,734,734,741,728,52409
UCB appendix,1,5,ok,200000,30680,169320,30655,18807,11848,2962,13464.864334,2.27666608735,0.085950778179,"{""n_1"": 2977, ""n_2"": 2957, ""n_3"": 2957, ""n_4"": 2957, ""n_5"": 18807}",2977,2957,2957,2957,18807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,1,5,ok,200000,27906,172094,27881,17074,10807,2701.75,13464.864334,2.07064841564,0.102303379727,"{""n_1"": 2716, ""n_2"": 2697, ""n_3"": 2697, ""n_4"": 2697, ""n_5"": 17074}",2716,2697,2697,2697,17074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,1,5,ok,200000,48580,151420,48555,32119,16436,4109,13464.864334,3.6060519286,0.122238094955,"{""n_1"": 4121, ""n_2"": 4105, ""n_3"": 4105, ""n_4"": 4105, ""n_5"": 32119}",4121,4105,4105,4105,32119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,1,5,ok,200000,42017,157983,41992,27649,14343,3585.75,13464.864334,3.11863520926,0.130900000074,"{""n_1"": 3597, ""n_2"": 3582, ""n_3"": 3582, ""n_4"": 3582, ""n_5"": 27649}",3597,3582,3582,3582,27649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,1,10,ok,200000,41974,158026,41924,25684,16240,1804.44444444,16964.6660084,2.47125407475,0.113802207606,"{""n_1"": 1803, ""n_10"": 25684, ""n_2"": 1803, ""n_3"": 1803, ""n_4"": 1787, ""n_5"": 1803, ""n_6"": 1818, ""n_7"": 1818, ""n_8"": 1818, ""n_9"": 1787}",1803,1803,1803,1787,1803,1818,1818,1818,1787,25684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,1,10,ok,200000,36943,163057,36893,22379,14514,1612.66666667,16964.6660084,2.17469651225,0.132848198098,"{""n_1"": 1611, ""n_10"": 22379, ""n_2"": 1611, ""n_3"": 1611, ""n_4"": 1596, ""n_5"": 1611, ""n_6"": 1626, ""n_7"": 1626, ""n_8"": 1626, ""n_9"": 1596}",1611,1611,1611,1596,1611,1626,1626,1626,1596,22379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,1,10,ok,200000,64889,135111,64839,41874,22965,2551.66666667,16964.6660084,3.82200274193,0.157135943773,"{""n_1"": 2550, ""n_10"": 41874, ""n_2"": 2550, ""n_3"": 2550, ""n_4"": 2538, ""n_5"": 2550, ""n_6"": 2563, ""n_7"": 2563, ""n_8"": 2563, ""n_9"": 2538}",2550,2550,2550,2538,2550,2563,2563,2563,2538,41874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,1,10,ok,200000,53672,146328,53622,34335,19287,2143,16964.6660084,3.16080493264,0.171550000066,"{""n_1"": 2142, ""n_10"": 34335, ""n_2"": 2142, ""n_3"": 2142, ""n_4"": 2130, ""n_5"": 2142, ""n_6"": 2153, ""n_7"": 2153, ""n_8"": 2153, ""n_9"": 2130}",2142,2142,2142,2130,2142,2153,2153,2153,2130,34335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,1,15,ok,200000,49923,150077,49848,30402,19446,1389,19419.6948,2.56687865146,0.131949311458,"{""n_1"": 1396, ""n_10"": 1382, ""n_11"": 1382, ""n_12"": 1382, ""n_13"": 1382, ""n_14"": 1382, ""n_15"": 30402, ""n_2"": 1396, ""n_3"": 1396, ""n_4"": 1396, ""n_5"": 1382, ""n_6"": 1396, ""n_7"": 1396, ""n_8"": 1382, ""n_9"": 1396}",1396,1396,1396,1396,1382,1396,1396,1382,1396,1382,1382,1382,1382,1382,30402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,1,15,ok,200000,42965,157035,42890,25957,16933,1209.5,19419.6948,2.20858259832,0.154092469181,"{""n_1"": 1216, ""n_10"": 1203, ""n_11"": 1203, ""n_12"": 1203, ""n_13"": 1203, ""n_14"": 1203, ""n_15"": 25957, ""n_2"": 1216, ""n_3"": 1216, ""n_4"": 1216, ""n_5"": 1203, ""n_6"": 1216, ""n_7"": 1216, ""n_8"": 1203, ""n_9"": 1216}",1216,1216,1216,1216,1203,1216,1216,1203,1216,1203,1203,1203,1203,1203,25957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
